City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
494,gao,16.6362,1.637,29.87,57,100,3.49,ML,1722798121
495,sarupathar,26.1984,93.8094,25.01,98,100,0.83,IN,1722798123
496,mahenge,-8.6833,36.7167,17.85,46,0,1.29,TZ,1722798124
497,moss vale,-34.55,150.3833,5.18,85,100,0.98,AU,1722798125
498,el obeid,13.1842,30.2167,29.07,55,93,5.96,SD,1722798126
499,san isidro,-12.1167,-77.05,17.77,68,75,4.63,PE,1722797782
500,ostersund,63.1792,14.6357,18.25,72,100,3.09,SE,1722798128
501,wickenburg,33.9686,-112.7296,41.91,22,0,2.24,US,1722798041
502,santa ines,-3.6667,-45.38,35.39,23,5,2.86,BR,1722798131
503,shetpe,44.1667,52.1167,26.73,44,100,4.3,KZ,1722798132
504,pacasmayo,-7.4006,-79.5714,20.19,70,18,6.86,PE,1722798133
505,yerofey pavlovich,53.9667,121.9667,15.91,99,100,1.68,RU,1722798134
506,nephi,39.7102,-111.8363,33.43,21,12,4.28,US,1722797848
507,belousovka,50.1339,82.5239,14.47,82,85,3.0,KZ,1722798136
508,olinda,-8.0089,-34.8553,26.85,69,40,6.17,BR,1722797842
509,eagle river,45.9172,-89.2443,23.99,63,100,2.06,US,1722798138
510,mermoz boabab,14.7065,-17.4758,27.31,89,40,4.12,SN,1722798140
511,conception bay south,47.4999,-52.9981,23.53,91,100,5.11,CA,1722798040
512,hasaki,35.7333,140.8333,24.22,86,5,1.83,JP,1722798064
513,tosontsengel,48.7567,98.2839,10.73,85,100,1.3,MN,1722798144
514,luuq,3.7938,42.5445,27.85,50,97,9.33,SO,1722798145
515,ta'if,21.2703,40.4158,26.56,51,73,3.12,SA,1722797861
516,serenje,-13.2325,30.2352,14.07,33,2,1.76,ZM,1722798147
517,lodwar,3.1191,35.5973,31.74,38,100,3.98,KE,1722798003
518,comodoro rivadavia,-45.8667,-67.5,9.92,53,0,2.57,AR,1722798029
519,krasnoturansk,54.3186,91.5639,16.79,84,89,0.93,RU,1722798151
520,revda,56.801,59.9303,13.58,98,35,2.2,RU,1722798152
521,balakhta,55.38,91.6,16.91,94,100,1.69,RU,1722798153
522,mukharram al fawqani,34.8151,37.0861,23.38,67,0,6.16,SY,1722798154
523,raduzhny,62.0961,77.475,16.87,93,100,1.28,RU,1722798155
524,inirida,3.8653,-67.9239,29.83,62,100,1.6,CO,1722798156
525,trapani,37.8333,12.6667,28.52,68,0,3.47,IT,1722798157
526,blenheim,-41.516,173.9528,0.29,85,18,0.89,NZ,1722798160
527,marka,1.7159,44.7717,24.33,73,93,8.22,SO,1722798161
528,nemuro,43.3236,145.575,15.52,100,100,3.48,JP,1722798128
529,kayyerkan,69.3786,87.7439,6.29,77,0,7.41,RU,1722798125
530,gabrovo,42.8747,25.3342,21.19,47,2,2.36,BG,1722798164
531,kas,36.2018,29.6377,28.67,44,0,3.72,TR,1722798165
532,kismayo,-0.3582,42.5454,24.51,75,24,8.59,SO,1722798166
533,bel ombre,-4.6167,55.4167,24.91,88,75,4.12,SC,1722798167
534,kirksville,40.1948,-92.5833,32.25,47,0,4.63,US,1722798168
535,port douglas,-16.4833,145.4667,20.91,82,73,4.81,AU,1722798170
536,bengkulu,-3.8004,102.2655,24.55,92,100,4.69,ID,1722798171
537,weare,43.0948,-71.7306,25.09,99,100,1.34,US,1722798172
538,fiche,9.8,38.7333,12.28,85,78,1.75,ET,1722798173
539,simanggang,1.2472,111.4528,25.01,94,100,0.0,MY,1722798174
540,tarfaya,27.9358,-12.9218,21.47,90,7,8.04,MA,1722798175
541,santa isabel,-23.3156,-46.2214,29.61,29,20,2.88,BR,1722798176
542,darnah,32.767,22.6367,27.49,69,0,5.03,LY,1722798177
543,igarka,67.4667,86.5833,8.56,71,0,6.03,RU,1722798126
544,wetaskiwin,52.9668,-113.3687,20.71,48,93,4.85,CA,1722798011
545,termas de rio hondo,-27.4998,-64.8604,21.48,31,0,2.09,AR,1722798181
546,anchorage,61.2181,-149.9003,15.71,82,100,1.54,US,1722798004
547,malabar,-33.9667,151.25,10.43,87,100,2.06,AU,1722798183
548,mil'kovo,55.6078,37.7956,19.22,64,2,2.31,RU,1722798184
549,zouerate,22.7187,-12.4521,38.11,25,9,4.51,MR,1722798185
550,warrenton,-28.114,24.8475,13.42,31,97,8.33,ZA,1722798164
551,touros,-5.1989,-35.4608,26.27,65,0,7.44,BR,1722798007
552,hilo,19.7297,-155.09,24.23,97,100,2.57,US,1722798134
553,camocim,-2.9022,-40.8411,30.96,47,3,6.96,BR,1722798134
554,floro,61.5996,5.0328,14.98,82,75,2.57,NO,1722798191
555,belyy yar,53.6039,91.3903,18.94,77,0,3.0,RU,1722798192
556,manicore,-5.8092,-61.3003,38.83,21,26,2.67,BR,1722798193
557,ifanadiana,-21.3,47.6333,14.42,94,1,1.15,MG,1722798194
558,huarmey,-10.0681,-78.1522,20.67,67,5,5.8,PE,1722798195
559,chernomorskoye,45.5039,32.6997,23.31,71,100,6.92,UA,1722798197
560,borogontsy,62.6683,131.1683,10.49,70,100,2.57,RU,1722798199
561,el bauga,18.262,33.9081,33.89,43,85,5.11,SD,1722798200
